Operator,Year,Aboard,Fatalities
Wuhan Airlines,2000,44,44
Win Win Aviation,2000,3,1
Whyalla Airlines,2000,8,8
Vologodskiye Airlines,2000,9,9
Uralex,2000,33,3
Universal Jet Aviation,2000,3,3
Trans Guyana Airways,2000,1,1
Top Air - Air Taxi,2000,4,4
Taxval,2000,1,1
TACA,2000,20,5
Superior Aviation,2000,1,1
Summit Air Charters,2000,3,3
Streamline,2000,2,1
Staer Air,2000,27,27
Southwest Airlines,2000,142,0
Skypower Express Airways,2000,16,1
Sky Cabs,2000,8,6
Singapore Airlines,2000,179,83
Servicio Aereo Manchupo,2000,6,6
SANSA,2000,10,10
Royal Nepal Airlines,2000,25,25
RCMP-GRC Air Services,2000,2,2
Private,2000,3,3
Price Aircraft Company,2000,6,6
Points North Air Services,2000,2,2
Philippine Air Lines,2000,298,1
Patuxent Airways / Private,2000,11,11
Northern Executive Aviation,2000,5,2
North Coast Aviation,2000,4,4
Mayoral Executive Jet,2000,2,1
Malu Aviation,2000,11,2
Lao Aviation,2000,17,8
Kivu Air Services,2000,2,2
Kenya Airways,2000,179,169
Indian Airlines/Alliance Airlines,2000,58,55
Gulf Air,2000,143,143
Ghana Airlink,2000,52,7
Executive Airlines,2000,19,19
Empire Airlines,2000,1,1
Emery Worldwide,2000,3,3
Crossair,2000,10,10
CORAL Colombia,2000,19,13
Charter - Central Air,2000,8,8
Cape Smythe Air Service,2000,10,5
Bombardier Aerospace,2000,3,2
Blue Hawaiian Helicopters,2000,7,7
Big Island Airlines,2000,9,1
Bankair,2000,3,3
Avisto,2000,41,22
Avirex,2000,10,3
Asa Pesada,2000,57,57
ANT Air Taxi,2000,5,5
American Airlines,2000,114,1
Allied Air Freight,2000,2,2
Alaska Airlines,2000,88,88
Airwave Transport,2000,2,2
Air taxi - Lider Air Taxi,2000,6,6
Air taxi - Jao Air Taxi,2000,4,4
"Air Taxi - Iliamna, Air Taxi Inc.",2000,6,6
Air Taxi,2000,3,3
Air Philippines,2000,131,131
Air France,2000,109,109
Aeroperlas,2000,10,10
Aeromexico,2000,88,0
Aerocaribe,2000,19,19
Aca-Ancargo,2000,44,44
Vnukovo Airlines,2001,174,3
Vladivostokavia,2001,145,145
Victoria Airlines,2001,11,4
Universal Jet Aviation,2001,2,2
United Air Lines,2001,109,109
Thai Airways,2001,5,1
TAM (Brazil),2001,82,1
Sociedade de Aviacao Ligeira Charter,2001,17,16
Skydive Salt Lake - Charter,2001,9,9
Sibir Airlines,2001,78,78
SFC Vietnam - Charter - Full Account,2001,16,16
Scandinavian Airlines (SAS) / Private,2001,114,114
SANSA,2001,8,3
Rutaca Airlines,2001,24,24
Russ Air Transport Company,2001,10,10
Private - Techint  group,2001,10,10
Private - OverteCompany,2001,13,13
Private  - Daewoo Shipbuilding,2001,12,8
Perimeter Airlines,2001,3,2
PenAir,2001,10,10
Papillon Grand Canyon Helicopters of Las Vegas,2001,7,6
Northern Illinois Flight Center,2001,6,2
North Bay Charter,2001,10,10
Naske Air,2001,3,3
MK Airlines,2001,13,1
Merpati Nusantara Airlines,2001,3,3
Manunggal Air,2001,19,1
MajestiAir Cargo,2001,2,2
Loganair,2001,2,2
Lineas Aereas Suramericanas,2001,6,3
Jetwingsco Inc. - Private Charter,2001,18,18
Jet Wings,2001,1,1
Heliandes,2001,16,16
Gum Air Charter,2001,10,10
Fuerza A�rea Argentina,2001,5,5
Flightline,2001,10,10
Faraz Qeshm Airlines,2001,30,30
ERA Aviation - Air Taxi,2001,5,3
ELK Aviation Co. (leased from Eminex),2001,17,2
Eagle Air,2001,8,8
E.A.S. Aeroservizi,2001,3,3
Crossair,2001,33,24
Charter - IRS Aero,2001,27,27
Canadian Air Transat,2001,304,0
Blackhawk Int. Airways  - Private charter,2001,9,9
Binter Mediterr�neo,2001,47,4
BAL Bremerhaven Airline,2001,9,8
