Operator,Year,Aboard,Fatalities
Private,1913,1,1
US Aerial Mail Service,1918,1,1
US Aerial Mail Service,1919,4,4
Aircraft Transport and Travel,1919,1,1
US Aerial Mail Service,1920,17,14
Latecoere Airlines,1920,4,4
Handley Page Transport,1920,8,4
By Air,1920,1,1
Aeropostale,1920,1,1
West Australian Airways,1921,3,3
US Aerial Mail Service,1921,9,9
Franco-Roumaine,1921,5,5
Aeropostale,1921,4,4
Vickers,1922,3,3
US Aerial Mail Service,1922,1,1
Handley Page Transport,1922,5,5
Grands Express Aeriens,1922,6,6
Daimler Airways / Grands Express Aeriens,1922,7,7
Cie des Messageries Aeriennes,1922,3,3
,1922,21,21
US Aerial Mail Service,1923,5,5
Grands Express Aeriens,1923,7,7
Daimler Airways,1923,6,6
CCCP,1923,4,2
Campagnie France Roumaine,1923,2,2
Amee de l'Air,1923,4,3
US Aerial Mail Service,1924,3,3
SCADTA,1924,3,3
KLM Royal Dutch Airlines,1924,3,3
Imperial Airways,1924,8,8
Grands Express Aeriens,1924,1,1
Zakavia,1925,5,5
US Aerial Mail Service,1925,1,1
Lignes Aeriennes Latecoere,1925,3,3
KLM Royal Dutch Airlines,1925,4,4
Grands Express Aeriens,1925,6,6
CIDNA,1925,4,4
Air Union,1925,2,2
US Aerial Mail Service,1926,1,1
PacifiAir Transport,1926,1,1
KLM Royal Dutch Airlines,1926,2,2
Imperial Airways,1926,12,0
Grands Express Aeriens,1926,3,3
Deutsche Lufthansa,1926,8,8
Deutche Lufthansa,1926,1,1
Compagnie Internationale de Navigation Aérienne,1926,7,7
Air Union,1926,5,5
,1926,5,2
Varney Air Lines,1927,1,1
US Aerial Mail Service,1927,1,1
Reynolds Airways,1927,12,7
Qantas,1927,3,3
National Air Transport,1927,1,1
Lignes Aeriennes Latecoere,1927,2,2
Latecoere Airlines,1927,4,4
KLM Royal Dutch Airlines,1927,13,3
Grands Express Aeriens,1927,1,1
Deutsche Lufthansa,1927,17,15
Colonial Air Transport,1927,5,5
CIDNA,1927,1,1
Air Union,1927,3,1
Aeropostale,1927,3,3
Aero O-Y,1927,6,6
Universal Airlines,1928,3,3
Syndicato Condor,1928,14,14
Sunbeam Air Transport Co.,1928,5,5
Qantas,1928,2,1
National Parks Airways,1928,7,7
National Air Transport,1928,4,4
KLM Royal Dutch Airlines,1928,1,1
Interstate Airlines,1928,4,4
Imperial Airways,1928,4,4
Iberia Airlines,1928,9,9
Ford Air Freight Inc.,1928,2,2
Deutsche Lufthansa,1928,17,14
Continental Air Lines,1928,3,3
Colonial Western Airlines,1928,3,3
CIDNA,1928,6,5
British Columbia Airways,1928,7,7
Boeing Air Transport,1928,4,2
Air Union,1928,4,3
Aeropostale,1928,13,11
Aero O-Y,1928,6,6
,1928,16,16
Varney Air Lines,1929,2,2
Ukvozduchput,1929,1,1
Trans Continental Air Transport,1929,13,13
Skyline Transportation Company,1929,1,1
Pickwick Airways,1929,2,1
Pan American Airways,1929,5,2
Northwest Orient Airlines,1929,8,1
New Standard Airlines,1929,4,4
National Air Transport,1929,1,1
Middle States Airlines,1929,4,4
MALERT,1929,2,2
Imperial Airways,1929,25,17
Deutsche Lufthansa,1929,16,13
Corp. Aeronautica de Transportes,1929,4,4
Continental Air Lines,1929,2,2
Colonial Western Airlines,1929,15,14
Colonial Air Transport,1929,2,2
Bremerton-Seattle Air Taxi / Gorst Air Lines,1929,2,2
Associated Aviators,1929,2,1
Air Union,1929,3,3
Aeropostale,1929,18,16
Aeroespresso,1929,9,2
Aero Lloyd,1929,5,5
Western Canada Airways,1930,3,3
Syndicato Condor,1930,9,1
Sabena,1930,2,2
PacifiAir Transport,1930,3,3
Maddux Airlines,1930,16,16
Imperial Airways,1930,6,3
Embry Riddle Company,1930,1,1
Deutsche Lufthansa,1930,16,13
Cross Airways,1930,5,5
Colonial Air Transport,1930,16,2
China National Aviation Corporation,1930,6,4
Ceskoslovenske Aerolinie,1930,11,10
Central  Airlines,1930,5,5
Canadian Colonial Airways,1930,4,4
Boeing Air Transport,1930,1,1
Alaska-Washington Airways,1930,3,3
Air Union,1930,2,2
Air Orient,1930,3,3
Aeropostale,1930,10,9
Western Canada Airways,1931,3,2
Varney Air Lines,1931,2,2
Union Airways,1931,3,3
Trans Continental and Western Air,1931,8,8
Syndicato Condor,1931,3,3
Sabena,1931,2,2
Rubner Flying Service,1931,3,2
PacifiAir Transport,1931,6,6
"NY, Phil., Washington AW",1931,5,5
National Air Transport,1931,1,1
KLM Royal Dutch Airlines,1931,7,5
Guiena Airways,1931,1,1
Dominion Air Lines,1931,1,1
Deutsche Lufthansa,1931,17,9
CIDNA,1931,7,7
China National Aviation Corporation,1931,3,3
Chicago-Detroit Airways,1931,1,1
Braniff Airways,1931,6,2
Braniff Airlines,1931,2,2
Boeing Air Transport,1931,1,1
Australian National Airways,1931,8,8
Australian Aerial Services,1931,2,2
American Airways,1931,12,11
Air Orient,1931,4,4
Aeropostale,1931,5,3
Varney Air Lines,1932,2,2
Transamerican Airlines,1932,1,1
Transamerica Airlines,1932,1,1
Trans Continental and Western Air,1932,3,3
Panagra,1932,9,9
PacifiAir Transport,1932,3,3
Northwest Airways,1932,1,1
New England Airways,1932,3,3
National Air Transport,1932,1,1
Lloyd Aero Boliviano,1932,2,2
Hunter Airways,1932,2,2
Guinea Airways,1932,2,2
Deutsche Lufthansa,1932,7,7
Century PacifiLines,1932,8,8
Century Air Lines,1932,5,2
Boeing Air Transport,1932,3,2
Bimini Airways,1932,5,5
American Airways,1932,11,10
Air Union,1932,2,1
Air Orient,1932,10,4
Aeropostale,1932,4,4
A B Aerotransport,1932,2,2
Varney Airlines,1933,3,3
United Air Lines,1933,19,14
Union Airways,1933,6,4
Trans Continental and Western Air,1933,6,6
Pan American Grace Airways,1933,2,2
PacifiAir Transport,1933,3,1
National Air Transport,1933,2,2
Kalinin,1933,20,14
Imperial Airways,1933,25,25
Eurasia,1933,4,4
Eastern Air Transport,1933,3,3
Deutsche Lufthansa,1933,10,8
China National Aviation Corporation,1933,8,8
American Airways,1933,2,2
Air Orient,1933,6,6
Air France,1933,2,2
Aeroput,1933,8,8
Aeropostale - La Tecoere Company,1933,6,6
Aeropostale,1933,1,1
United Air Services,1934,4,3
Swissair,1934,12,12
Rapid Air Transport,1934,7,7
Qantas,1934,11,11
Panagra,1934,10,5
Pan American Grace Airlines,1934,15,3
Pan American Airways (Scadta),1934,6,5
KLM Royal Dutch Airlines,1934,7,7
Holyman Airways,1934,11,11
Holdens Air Transport Service,1934,4,2
Deutsche Lufthansa,1934,10,4
Cubana de Aviacion,1934,8,4
China National Aviation Corporation,1934,3,3
Braniff Airlines,1934,1,1
Boeing Aircraft Company,1934,8,8
American Airways,1934,11,11
American Airlines,1934,1,1
Air France,1934,32,27
Aerevias Centrales Air Service,1934,1,1
Wyoming Air Service,1935,1,1
Western Air Express,1935,3,3
Wedell-Williams Air Service Corporation,1935,2,2
Varney Air Lines,1935,1,1
United Air Lines,1935,16,16
Trans Continental and Western Air,1935,15,6
TACA,1935,14,14
Servicio Aereo Columbiano / SCADTA,1935,20,17
Sabena,1935,11,11
Private,1935,2,2
Misrair,1935,6,3
Knowles Flying Service of Detroit,1935,12,3
KLM Royal Dutch Airlines,1935,40,26
Imperial Airways,1935,13,12
Holyman Airways,1935,5,5
Gor'ky Eskadril'ya,1935,50,50
Deutsche Lufthansa,1935,8,8
Deruluft,1935,11,14
Delta Air Lines,1935,4,4
Chicago and Southern Airlines,1935,2,2
Chamberlin Flying Service,1935,6,1
Braniff Airlines,1935,1,1
